entry_id,lemma,difficulty,suggested_difficulty,delta,reason
102,가려움증,0.9725,0.5,-0.4725,"표제어 '가려움증'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
103,가려워하다,0.95,0.35,-0.6,"표제어 '가려워하다'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
117,가로무늬,0.95,0.45,-0.5,"표제어 '가로무늬'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
118,가로선,0.9725,0.45,-0.5225,"표제어 '가로선'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
121,가로쓰기,0.95,0.5,-0.45,"표제어 '가로쓰기'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
127,가로획,0.9725,0.5,-0.4725,"표제어 '가로획'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
130,가루비누,0.7325,0.25,-0.4825,"표제어 '가루비누'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
132,가루우유,0.735,0.25,-0.485,"표제어 '가루우유'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
148,가마,0.95,0.5,-0.45,"표제어 '가마'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
167,가맹점,0.97,0.55,-0.42,"표제어 '가맹점'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
234,가스난로,0.9725,0.45,-0.5225,"표제어 '가스난로'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
235,가스라이터,0.975,0.4,-0.575,"표제어 '가스라이터'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
238,가스보일러,0.7375,0.3,-0.4375,"표제어 '가스보일러'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
239,가스스토브,0.975,0.45,-0.525,"표제어 '가스스토브'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
240,가스오븐레인지,0.7375,0.3,-0.4375,"표제어 '가스오븐레인지'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
277,가오리연,0.735,0.3,-0.435,"표제어 '가오리연'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
287,가운뎃손가락,0.7125,0.2,-0.5125,"표제어 '가운뎃손가락'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
301,가을배추,0.7125,0.3,-0.4125,"표제어 '가을배추'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
302,가을벌레,0.7125,0.3,-0.4125,"표제어 '가을벌레'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
325,가재도구,0.97,0.45,-0.52,"표제어 '가재도구'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
326,가전제품,0.7325,0.3,-0.4325,"표제어 '가전제품'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
333,가정용품,0.97,0.45,-0.52,"표제어 '가정용품'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
340,가정하다,0.241,0.65,0.409,사실 여부가 불분명한 전제를 논리적 근거로 세운다는 뜻이라 추상성과 학술적 문맥 부담이 크다.
378,가치,0.2575,0.85,0.5925,"쓸모라는 쉬운 뜻을 넘어 인간과 대상의 관계, 중요성, 진선미 같은 철학적 의미가 핵심이라 추상성이 높다."
388,가판대,0.97,0.5,-0.47,"표제어 '가판대'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
411,각도기,0.7325,0.3,-0.4325,"표제어 '각도기'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
413,각목,0.97,0.45,-0.52,"표제어 '각목'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
419,각봉투,0.97,0.35,-0.62,"표제어 '각봉투'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
427,각설탕,0.7325,0.25,-0.4825,"표제어 '각설탕'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
453,간간하다,0.95,0.45,-0.5,"표제어 '간간하다'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
495,간섭,0.02,0.5,0.48,일상적 참견 뜻에 물리학의 파동 현상까지 함께 있어 다의성과 전문 개념 부담이 있다.
519,간이매점,0.97,0.45,-0.52,"표제어 '간이매점'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
520,간이식당,0.97,0.4,-0.57,"표제어 '간이식당'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
521,간이역,0.97,0.5,-0.47,"표제어 '간이역'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
522,간이음식점,0.97,0.4,-0.57,"표제어 '간이음식점'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
523,간이주점,0.97,0.45,-0.52,"표제어 '간이주점'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
524,간이침대,0.97,0.4,-0.57,"표제어 '간이침대'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
589,갈고리,0.7325,0.3,-0.4325,"표제어 '갈고리'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
644,갈퀴,0.7125,0.3,-0.4125,"표제어 '갈퀴'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
758,감자채,0.95,0.45,-0.5,"표제어 '감자채'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
863,강낭콩,0.7325,0.3,-0.4325,"표제어 '강낭콩'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
894,강바닥,0.735,0.25,-0.485,"표제어 '강바닥'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
895,강바람,0.735,0.25,-0.485,"표제어 '강바람'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
959,강추위,0.735,0.3,-0.435,"표제어 '강추위'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
968,강판,0.97,0.5,-0.47,"표제어 '강판'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
970,강풍,0.7325,0.3,-0.4325,"표제어 '강풍'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1109,개수대,0.9725,0.45,-0.5225,"표제어 '개수대'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1110,개숫물,0.95,0.45,-0.5,"표제어 '개숫물'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1234,객차,1,0.5,-0.5,"표제어 '객차'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1236,갯가,0.97,0.45,-0.52,"표제어 '갯가'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1238,갯바람,0.95,0.35,-0.6,"표제어 '갯바람'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1248,갱지,0.97,0.45,-0.52,"표제어 '갱지'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1313,거름망,0.9725,0.5,-0.4725,"표제어 '거름망'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1334,거무칙칙하다,0.95,0.4,-0.55,"표제어 '거무칙칙하다'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1430,거품기,0.9725,0.4,-0.5725,"표제어 '거품기'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1466,건넌방,0.9725,0.45,-0.5225,"표제어 '건넌방'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1469,건넛방,0.9725,0.45,-0.5225,"표제어 '건넛방'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1506,건어물,0.7325,0.3,-0.4325,"표제어 '건어물'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1519,건조기,0.7625,0.3,-0.4625,"표제어 '건조기'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1520,건조대,0.7325,0.25,-0.4825,"표제어 '건조대'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1527,건초,0.7325,0.3,-0.4325,"표제어 '건초'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1560,걸레짝,0.95,0.45,-0.5,"표제어 '걸레짝'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1569,걸상,0.9725,0.45,-0.5225,"표제어 '걸상'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1613,검색창,1,0.35,-0.65,"표제어 '검색창'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1629,검은자,0.95,0.35,-0.6,"표제어 '검은자'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1630,검은자위,0.95,0.35,-0.6,"표제어 '검은자위'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1640,검정이,0.97,0.45,-0.52,"표제어 '검정이'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1641,검정콩,0.7125,0.25,-0.4625,"표제어 '검정콩'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1666,겅정거리다,0.95,0.45,-0.5,"표제어 '겅정거리다'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1667,겅중,0.95,0.4,-0.55,"표제어 '겅중'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1670,겉감,0.7125,0.3,-0.4125,"표제어 '겉감'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1682,겉봉투,0.9725,0.4,-0.5725,"표제어 '겉봉투'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1684,겉장,0.9725,0.4,-0.5725,"표제어 '겉장'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1685,겉절이,0.95,0.35,-0.6,"표제어 '겉절이'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1710,게우다,0.97,0.4,-0.57,"표제어 '게우다'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1720,게장,0.9725,0.45,-0.5225,"표제어 '게장'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1729,겨드랑,0.7325,0.2,-0.5325,"표제어 '겨드랑'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
1852,결론,0.2575,0.75,0.4925,글의 끝이라는 쉬운 뜻보다 판단과 추론 결과라는 논리적 의미가 함께 있어 사고 부담이 크다.
2252,계약,0.495,0.9,0.405,"일상적 약속의 뜻이 있어도 법률 효과와 채권 관계, 종교적 약속까지 걸쳐 의미 부담이 크다."
2871,공간,0.02,0.65,0.63,빈 곳이라는 쉬운 뜻 뒤에 수학적 구조와 칸트 철학의 선험적 형식까지 이어져 추상 부담이 매우 크다.
3289,관계,0.02,0.5,0.48,"관련성, 영역 관련, 완곡 표현, 까닭 표시까지 의미가 갈라져 문맥 판별 부담이 크다."
3786,구두닦이,0.95,0.45,-0.5,"표제어 '구두닦이'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
3788,구두약,0.9725,0.45,-0.5225,"표제어 '구두약'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
3790,구두창,0.95,0.45,-0.5,"표제어 '구두창'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
4433,규범,0.495,0.95,0.455,"행동과 판단의 가치 기준, 사유와 의지의 법칙을 뜻해 매우 추상적이고 철학적이다."
4445,규칙,0.02,0.45,0.43,약속된 질서라는 기본 뜻에 법률에 입각한 제정법 형식까지 포함되어 제도적 추상성이 있다.
5080,기름종이,0.7325,0.3,-0.4325,"표제어 '기름종이'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5406,김구이,0.7125,0.25,-0.4625,"표제어 '김구이'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5418,김칫거리,0.7125,0.3,-0.4125,"표제어 '김칫거리'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5426,깃대,0.735,0.3,-0.435,"표제어 '깃대'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5512,깔때기,0.7125,0.3,-0.4125,"표제어 '깔때기'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5561,깨소금,0.7125,0.3,-0.4125,"표제어 '깨소금'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5626,꼬까신,0.7125,0.3,-0.4125,"표제어 '꼬까신'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5727,꽃길,0.7125,0.3,-0.4125,"표제어 '꽃길'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5732,꽃놀이,0.7125,0.3,-0.4125,"표제어 '꽃놀이'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5740,꽃망울,0.7125,0.3,-0.4125,"표제어 '꽃망울'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5742,꽃목걸이,0.7125,0.25,-0.4625,"표제어 '꽃목걸이'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5746,꽃바구니,0.7325,0.25,-0.4825,"표제어 '꽃바구니'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5747,꽃반지,0.735,0.25,-0.485,"표제어 '꽃반지'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5760,꽃샘추위,0.7125,0.3,-0.4125,"표제어 '꽃샘추위'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
5765,꽃신,0.7325,0.3,-0.4325,"표제어 '꽃신'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6026,나라꽃,0.7125,0.3,-0.4125,"표제어 '나라꽃'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6050,나무망치,0.7125,0.25,-0.4625,"표제어 '나무망치'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6051,나무뿌리,0.7125,0.2,-0.5125,"표제어 '나무뿌리'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6068,나뭇더미,0.7125,0.25,-0.4625,"표제어 '나뭇더미'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6071,나뭇조각,0.7125,0.2,-0.5125,"표제어 '나뭇조각'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6358,남동풍,0.7325,0.25,-0.4825,"표제어 '남동풍'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6428,남풍,0.7325,0.25,-0.4825,"표제어 '남풍'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6518,낱장,0.735,0.25,-0.485,"표제어 '낱장'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6700,냅킨,0.7375,0.25,-0.4875,"표제어 '냅킨'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6703,냇바닥,0.7125,0.25,-0.4625,"표제어 '냇바닥'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6717,냉동식품,0.7325,0.3,-0.4325,"표제어 '냉동식품'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6809,널판,0.735,0.3,-0.435,"표제어 '널판'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
6814,넓적다리,0.7125,0.2,-0.5125,"표제어 '넓적다리'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
7072,논바닥,0.7125,0.25,-0.4625,"표제어 '논바닥'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
7128,놋숟가락,0.95,0.4,-0.55,"표제어 '놋숟가락'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
7353,눈사태,0.735,0.3,-0.435,"표제어 '눈사태'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
7365,눈썹연필,0.9725,0.45,-0.5225,"표제어 '눈썹연필'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
7476,능력,0.2575,0.75,0.4925,일을 해낼 힘이라는 쉬운 뜻 외에 법률 자격과 정신 기능의 가능성까지 포함해 다의 부담이 있다.
8582,대화방,1,0.45,-0.55,"표제어 '대화방'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
8777,도구함,0.7325,0.25,-0.4825,"표제어 '도구함'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
8800,도덕,0.495,0.9,0.405,"양심, 관습, 규범, 내면 원리와 인간 관계를 포괄하는 추상 개념이라 체감 난도가 높다."
8886,도배지,0.7325,0.3,-0.4325,"표제어 '도배지'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
9158,돌배,0.7125,0.3,-0.4125,"표제어 '돌배'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
9454,동풍,0.7325,0.25,-0.4825,"표제어 '동풍'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
9476,돛대,0.7125,0.3,-0.4125,"표제어 '돛대'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
